Date,MD,Home,Away,FTR,HomeG,AwayG,HmOd,DrOd,AwOd,Season,hHome,hAway,hScre,hRnd
2025-04-20 13:30:00,30,St. Pauli,Bayer Leverkusen,0,-1,-1,4.75,3.75,1.67,2024-2025,Bayer Leverkusen,St. Pauli,2-1,13
2025-04-20 11:30:00,30,Borussia Dortmund,Borussia M'gladbach,0,-1,-1,1.4,5.0,6.25,2024-2025,Borussia Monchengladbach,Borussia Dortmund,1-1,13
2025-04-20 09:30:00,30,Augsburg,Eintracht Frankfurt,0,-1,-1,2.45,3.25,2.7,2024-2025,Eintracht Frankfurt,Augsburg,2-2,13
2025-04-19 12:30:00,30,Union Berlin,VfB Stuttgart,0,-1,-1,2.9,3.5,2.25,2024-2025,VfB Stuttgart,Union Berlin,3-2,13
2025-04-19 09:30:00,30,Freiburg,Hoffenheim,0,-1,-1,1.9,3.6,3.7,2024-2025,TSG Hoffenheim,SC Freiburg,1-1,13
2025-04-19 09:30:00,30,Heidenheim,Bayern Munchen,0,-1,-1,9.5,6.0,1.25,2024-2025,Bayern Munchen,Heidenheimer,4-2,13
2025-04-19 09:30:00,30,Mainz 05,Wolfsburg,0,-1,-1,1.83,3.75,3.8,2024-2025,VfL Wolfsburg,FSV Mainz 05,4-3,13
2025-04-19 09:30:00,30,RB Leipzig,Holstein Kiel,0,-1,-1,1.33,5.5,7.0,2024-2025,Holstein Kiel,RB Leipzig,0-2,13
2025-04-19 09:30:00,30,Werder Bremen,VfL Bochum,0,-1,-1,1.83,3.8,3.75,2024-2025,VfL Bochum,Werder Bremen,0-1,13
2025-04-13 11:30:00,29,Eintracht Frankfurt,Heidenheim,1,3,0,1.5,4.33,5.25,2024-2025,Heidenheimer,Eintracht Frankfurt,0-4,12
2025-04-13 09:30:00,29,VfB Stuttgart,Werder Bremen,2,1,2,1.6,4.33,4.5,2024-2025,Werder Bremen,VfB Stuttgart,2-2,12
2025-04-12 12:30:00,29,Bayern Munchen,Borussia Dortmund,0,2,2,1.48,4.75,5.5,2024-2025,Borussia Dortmund,Bayern Munchen,1-1,12
2025-04-12 09:30:00,29,Bayer Leverkusen,Union Berlin,0,0,0,1.33,4.75,9.0,2024-2025,Union Berlin,Bayer Leverkusen,1-2,12
2025-04-12 09:30:00,29,Borussia M'gladbach,Freiburg,2,1,2,2.2,3.5,3.0,2024-2025,SC Freiburg,Borussia Monchengladbach,3-1,12
2025-04-12 09:30:00,29,Hoffenheim,Mainz 05,1,2,0,2.9,3.6,2.2,2024-2025,FSV Mainz 05,TSG Hoffenheim,2-0,12
2025-04-12 09:30:00,29,Holstein Kiel,St. Pauli,2,1,2,2.7,3.5,2.4,2024-2025,St. Pauli,Holstein Kiel,3-1,12
2025-04-12 09:30:00,29,VfL Bochum,Augsburg,2,1,2,2.5,3.5,2.6,2024-2025,Augsburg,VfL Bochum,1-0,12
2025-04-11 14:30:00,29,Wolfsburg,RB Leipzig,2,2,3,2.5,3.6,2.5,2024-2025,RB Leipzig,VfL Wolfsburg,1-5,12
