Date,MD,Home,Away,FTR,HmOd,DrOd,AwOd,hHome,hAway,hScre,Season
2025-02-24 14:45:00,26,AS Roma,Monza,0,1.4,4.5,8,Monza,AS Roma,1-1,Season20242025
2025-02-23 14:45:00,26,Cagliari,Juventus,0,4.5,3.5,1.8,Juventus,Cagliari,4-0,Season20242025
2025-02-23 12:00:00,26,Empoli,Atalanta,0,5.5,4.1,1.57,Atalanta,Empoli,3-2,Season20242025
2025-02-23 09:00:00,26,Hellas Verona,Fiorentina,0,4,3.7,1.85,Fiorentina,Hellas Verona,3-1,Season20242025
2025-02-23 06:30:00,26,Como,Napoli,0,4,3.75,1.83,Napoli,Como,3-1,Season20242025
2025-02-22 14:45:00,26,Inter,Genoa,0,1.29,5.5,9.5,Genoa,Inter,2-2,Season20242025
2025-02-22 12:00:00,26,Torino,AC Milan,0,3.6,3.5,2,AC Milan,Torino,2-2,Season20242025
2025-02-22 09:00:00,26,Venezia,Lazio,0,4.5,3.8,1.73,Lazio,Venezia,3-1,Season20242025
2025-02-22 09:00:00,26,Parma,Bologna,0,4,3.7,1.85,Bologna,Parma,0-0,Season20242025
2025-02-21 14:45:00,26,Lecce,Udinese,0,2.8,3.25,2.5,Udinese,Lecce,1-0,Season20242025
2025-02-17 14:45:00,25,Genoa,Venezia,1,2,3.2,4,Venezia,Genoa,2-0,Season20242025
2025-02-16 14:45:00,25,Juventus,Inter,1,3.2,3.3,2.25,Inter Milan,Juventus,4-4,Season20242025
2025-02-16 12:00:00,25,Parma,AS Roma,2,4.5,3.75,1.73,Roma,Parma,5-0,Season20242025
2025-02-16 09:00:00,25,Udinese,Empoli,1,2,3.2,4,Empoli,Udinese,1-1,Season20242025
2025-02-16 09:00:00,25,Monza,Lecce,0,2.25,3.2,3.2,Lecce,Monza,2-1,Season20242025
2025-02-16 06:30:00,25,Fiorentina,Como,2,1.73,3.75,4.5,Como,Fiorentina,0-2,Season20242025
2025-02-15 14:45:00,25,AC Milan,Hellas Verona,1,1.33,5,9,Verona,AC Milan,0-1,Season20242025
2025-02-15 12:00:00,25,Lazio,Napoli,0,2.9,3.3,2.4,Napoli,Lazio,0-1,Season20242025
2025-02-15 09:00:00,25,Atalanta,Cagliari,0,1.33,5,9,Cagliari,Atalanta,0-1,Season20242025
2025-02-14 14:45:00,25,Bologna,Torino,1,1.8,3.5,4.5,Torino,Bologna,0-2,Season20242025
2025-02-10 14:45:00,24,Inter,Fiorentina,1,1.57,3.9,6.25,Fiorentina,Inter Milan,3-0,Season20242025
2025-02-09 14:45:00,24,Napoli,Udinese,0,1.36,4.75,9.5,Udinese,Napoli,1-3,Season20242025
2025-02-09 12:00:00,24,Lecce,Bologna,0,3.3,3.3,2.25,Bologna,Lecce,1-0,Season20242025
2025-02-09 09:00:00,24,Cagliari,Parma,1,1.95,3.5,3.9,Parma,Cagliari,2-3,Season20242025
2025-02-09 09:00:00,24,Lazio,Monza,1,1.44,4,9,Monza,Lazio,0-1,Season20242025
2025-02-09 06:30:00,24,Venezia,AS Roma,2,3.75,3.3,2.1,Roma,Venezia,2-1,Season20242025
2025-02-08 14:45:00,24,Torino,Genoa,0,2.1,3.1,4,Genoa,Torino,0-0,Season20242025
2025-02-08 12:00:00,24,Empoli,AC Milan,2,5.5,3.4,1.75,AC Milan,Empoli,3-0,Season20242025
2025-02-08 09:00:00,24,Hellas Verona,Atalanta,2,6,4.33,1.53,Atalanta,Verona,6-1,Season20242025
2025-02-07 14:45:00,24,Como,Juventus,2,4.1,3.4,1.95,Juventus,Como,3-0,Season20242025
2025-02-03 14:45:00,23,Cagliari,Lazio,2,4.1,3.5,1.85,Lazio,Cagliari,2-1,Season20242025
2025-02-02 14:45:00,23,AS Roma,Napoli,0,2.88,3.2,2.45,Napoli,Roma,1-0,Season20242025
2025-02-02 12:00:00,23,AC Milan,Inter,0,3,3.3,2.3,Inter Milan,AC Milan,1-2,Season20242025
2025-02-02 09:00:00,23,Fiorentina,Genoa,1,1.67,3.9,4.75,Genoa,Fiorentina,0-1,Season20242025
2025-02-02 06:30:00,23,Juventus,Empoli,1,1.4,4.5,8.5,Empoli,Juventus,0-0,Season20242025
