Date,MD,Home,Away,FTR,HmOd,DrOd,AwOd,hHome,hAway,hScre,Season
2024-08-09 14:15:00,1,Sporting CP,Rio Ave,1,1.17,6.5,15,Rio Ave,Sporting,3-3,Season20242025
2024-08-10 09:30:00,1,AVS Futebol SAD,Nacional da Madeira,0,2.2,3.25,3.3,,,,Season20242025
2024-08-10 12:00:00,1,Casa Pia AC,Boavista FC,2,2.15,3.25,3.3,Casa Pia,Boavista,0-0,Season20242025
2024-08-10 14:30:00,1,FC Porto,Gil Vicente,1,1.17,6.5,17,Gil Vicente,FC Porto,1-1,Season20242025
2024-08-11 09:30:00,1,Estoril,Santa Clara,2,2.05,3.2,3.8,Estoril,Santa Clara,3-0,Season20242025
2024-08-11 12:00:00,1,Famalicao,Benfica,1,6.5,4.2,1.5,Famalicao,Benfica,2-0,Season20242025
2024-08-11 12:00:00,1,Farense,Moreirense,2,2.9,3.3,2.38,SC Farense,Moreirense,0-1,Season20242025
2024-08-11 14:30:00,1,SC Braga,CF Estrela da Amadora,0,1.36,4.75,8,,,,Season20242025
2024-08-12 14:15:00,1,Arouca,Vitoria de Guimaraes,2,2.88,3.4,2.35,Arouca,Guimaraes,1-3,Season20242025
2024-08-16 11:00:00,2,Santa Clara,FC Porto,2,7,4.75,1.42,FC Porto,Santa Clara,2-1,Season20242025
2024-08-16 14:15:00,2,Gil Vicente,AVS Futebol SAD,1,2.7,3.2,2.63,,,,Season20242025
2024-08-17 09:30:00,2,Rio Ave,Farense,1,1.91,3.4,4.1,SC Farense,Rio Ave,1-1,Season20242025
2024-08-17 12:00:00,2,Nacional da Madeira,Sporting CP,2,10,6,1.25,,,,Season20242025
2024-08-17 14:30:00,2,Benfica,Casa Pia AC,1,1.2,7,11,Casa Pia,Benfica,0-1,Season20242025
2024-08-18 09:30:00,2,Moreirense,Arouca,1,2.4,3.2,2.9,Moreirense,Arouca,1-0,Season20242025
2024-08-18 12:00:00,2,Vitoria de Guimaraes,Estoril,1,1.67,3.8,4.75,Estoril,Guimaraes,1-3,Season20242025
2024-08-18 14:30:00,2,Boavista FC,SC Braga,2,5.5,4,1.57,Boavista,Braga,0-4,Season20242025
2024-08-19 14:15:00,2,CF Estrela da Amadora,Famalicao,2,2.4,3.1,3,,,,Season20242025
2024-08-23 14:15:00,3,Farense,Sporting CP,2,12,8,1.17,Sporting,SC Farense,3-2,Season20242025
2024-08-24 09:30:00,3,Casa Pia AC,Santa Clara,2,2.38,3.1,3.2,Casa Pia,Santa Clara,2-1,Season20242025
2024-08-24 12:00:00,3,FC Porto,Rio Ave,1,1.25,6.25,10,FC Porto,Rio Ave,0-0,Season20242025
2024-08-24 14:30:00,3,Benfica,CF Estrela da Amadora,1,1.17,6.5,15,,,,Season20242025
2024-08-24 14:30:00,3,Famalicao,Boavista FC,1,1.6,3.7,5.75,Famalicao,Boavista,1-1,Season20242025
2024-08-25 09:30:00,3,Arouca,Nacional da Madeira,1,1.95,3.3,3.75,,,,Season20242025
2024-08-25 12:00:00,3,Estoril,Gil Vicente,0,2.6,3.2,2.75,Estoril,Gil Vicente,1-3,Season20242025
2024-08-25 14:30:00,3,SC Braga,Moreirense,1,1.53,4.33,5.75,Braga,Moreirense,1-0,Season20242025
2024-08-25 14:30:00,3,AVS Futebol SAD,Vitoria de Guimaraes,1,4.1,3.3,1.95,,,,Season20242025
2024-08-30 14:15:00,4,Moreirense,Benfica,0,7,4.33,1.45,Benfica,Moreirense,3-0,Season20242025
2024-08-31 09:30:00,4,Santa Clara,AVS Futebol SAD,1,1.95,3.3,4.2,AVS,Santa Clara,1-2,Season20242025
2024-08-31 12:00:00,4,Boavista FC,Estoril,0,2.3,3.2,3.1,Boavista,Estoril,2-1,Season20242025
2024-08-31 12:00:00,4,CF Estrela da Amadora,Casa Pia AC,2,2.15,3.25,3.4,,,,Season20242025
2024-08-31 14:30:00,4,Sporting CP,FC Porto,1,1.95,3.5,4,FC Porto,Sporting,2-2,Season20242025
2024-09-01 09:30:00,4,Nacional da Madeira,Farense,1,2.25,3.4,3.25,,,,Season20242025
2024-09-01 12:00:00,4,Rio Ave,Arouca,1,2.3,3.2,3.2,Rio Ave,Arouca,1-1,Season20242025
2024-09-01 14:30:00,4,Gil Vicente,SC Braga,0,4.5,3.8,1.73,Braga,Gil Vicente,2-1,Season20242025
2024-09-01 14:30:00,4,Vitoria de Guimaraes,Famalicao,1,1.91,3.4,4,Guimaraes,Famalicao,1-0,Season20242025
2024-09-13 14:15:00,5,Arouca,Sporting CP,2,12,5.25,1.25,Arouca,Sporting,0-3,Season20242025
2024-09-14 09:30:00,5,Casa Pia AC,Moreirense,1,2.63,3,2.9,Casa Pia,Moreirense,0-1,Season20242025
2024-09-14 12:00:00,5,AVS Futebol SAD,Rio Ave,1,2.4,3.2,3,,,,Season20242025
2024-09-14 14:30:00,5,Famalicao,Gil Vicente,0,1.9,3.3,4.33,Gil Vicente,Famalicao,1-2,Season20242025
2024-09-14 14:30:00,5,Benfica,Santa Clara,1,1.22,6,11,Benfica,Santa Clara,3-0,Season20242025
2024-09-15 09:30:00,5,FC Porto,Farense,1,1.14,7.5,21,SC Farense,FC Porto,1-3,Season20242025
2024-09-15 12:00:00,5,Estoril,Nacional da Madeira,1,2.3,3.3,3,,,,Season20242025
2024-09-15 14:30:00,5,SC Braga,Vitoria de Guimaraes,2,1.85,3.7,3.7,Guimaraes,Braga,2-3,Season20242025
2024-09-16 14:15:00,5,CF Estrela da Amadora,Boavista FC,0,2.15,3.25,3.4,,,,Season20242025
2024-09-20 14:15:00,6,Nacional da Madeira,SC Braga,2,4.5,3.1,1.83,,,,Season20242025
2024-09-21 09:30:00,6,Santa Clara,CF Estrela da Amadora,1,1.83,3.3,3.9,,,,Season20242025
2024-09-21 09:30:00,6,Rio Ave,Estoril,0,1.95,3.3,3.6,Rio Ave,Estoril,1-1,Season20242025
2024-09-21 12:00:00,6,Vitoria de Guimaraes,FC Porto,2,4.5,3.1,1.8,FC Porto,Guimaraes,1-2,Season20242025
2024-09-21 14:30:00,6,Moreirense,Famalicao,0,2.5,3,2.75,Moreirense,Famalicao,1-0,Season20242025
2024-09-22 09:30:00,6,Gil Vicente,Casa Pia AC,0,2.05,3.1,3.5,Casa Pia,Gil Vicente,0-0,Season20242025
2024-09-22 12:00:00,6,Farense,Arouca,2,2.63,3,2.63,Arouca,SC Farense,2-1,Season20242025
2024-09-22 14:30:00,6,Sporting CP,AVS Futebol SAD,1,1.06,11,23,,,,Season20242025
2024-09-23 14:15:00,6,Boavista FC,Benfica,2,10,5,1.25,Benfica,Boavista,2-0,Season20242025
2024-09-27 14:15:00,7,Estoril,Sporting CP,2,10,7.5,1.18,Estoril,Sporting,0-1,Season20242025
2024-09-28 09:30:00,7,CF Estrela da Amadora,Moreirense,1,2.63,3.2,2.55,,,,Season20242025
2024-09-28 12:00:00,7,Casa Pia AC,Vitoria de Guimaraes,0,3.6,3.2,1.95,Guimaraes,Casa Pia,0-2,Season20242025
2024-09-28 14:30:00,7,Benfica,Gil Vicente,1,1.2,7,9,Benfica,Gil Vicente,3-0,Season20242025
2024-09-29 09:30:00,7,Famalicao,Nacional da Madeira,0,1.57,3.75,5.25,,,,Season20242025
2024-09-29 12:00:00,7,FC Porto,Arouca,1,1.22,6,13,Arouca,FC Porto,3-2,Season20242025
2024-09-29 14:30:00,7,Santa Clara,Boavista FC,1,1.6,3.75,5,Santa Clara,Boavista,2-2,Season20242025
2024-09-29 14:30:00,7,SC Braga,Rio Ave,1,1.36,4.5,7,Rio Ave,Braga,0-0,Season20242025
2024-09-30 14:15:00,7,AVS Futebol SAD,Farense,0,1.9,3.4,3.6,,,,Season20242025
2024-10-04 14:15:00,8,Rio Ave,Famalicao,0,2.38,3.4,2.88,Famalicao,Rio Ave,2-1,Season20242025
2024-10-05 09:30:00,8,Moreirense,Santa Clara,1,2.2,3.25,3,Moreirense,Santa Clara,0-2,Season20242025
2024-10-05 09:30:00,8,Gil Vicente,CF Estrela da Amadora,1,1.91,3.4,4,,,,Season20242025
2024-10-05 12:00:00,8,Arouca,AVS Futebol SAD,0,2.15,3.6,2.88,,,,Season20242025
2024-10-05 14:30:00,8,Sporting CP,Casa Pia AC,1,1.13,8.5,12,Sporting,Casa Pia,8-0,Season20242025
2024-10-06 09:30:00,8,Vitoria de Guimaraes,Boavista FC,0,1.42,3.9,6.5,Guimaraes,Boavista,1-0,Season20242025
2024-10-06 09:30:00,8,Farense,Estoril,1,2.25,3.4,2.8,SC Farense,Estoril,3-2,Season20242025
2024-10-06 14:30:00,8,FC Porto,SC Braga,1,1.62,3.6,5,Braga,FC Porto,0-1,Season20242025
2024-12-19 12:00:00,8,Nacional da Madeira,Benfica,2,11,5,1.28,,,,Season20242025
2024-10-25 12:45:00,9,Casa Pia AC,Nacional da Madeira,1,2.05,3.25,3.4,,,,Season20242025
2024-10-25 14:45:00,9,Santa Clara,Gil Vicente,1,1.8,3.4,4,Santa Clara,Gil Vicente,3-2,Season20242025
2024-10-26 09:30:00,9,Estoril,Arouca,1,2.75,3.2,2.38,Estoril,Arouca,1-2,Season20242025
2024-10-26 12:00:00,9,Boavista FC,Moreirense,2,3.25,3,2.2,Boavista,Moreirense,1-0,Season20242025
2024-10-26 14:30:00,9,Famalicao,Sporting CP,2,6,4.75,1.4,Famalicao,Sporting,0-1,Season20242025
2024-10-27 10:30:00,9,SC Braga,Farense,1,1.33,5,7,Braga,SC Farense,2-1,Season20242025
2024-10-27 13:00:00,9,Benfica,Rio Ave,1,1.18,6.5,11,Rio Ave,Benfica,1-1,Season20242025
2024-10-27 15:30:00,9,CF Estrela da Amadora,Vitoria de Guimaraes,0,4.1,3.3,1.8,,,,Season20242025
2024-10-28 15:15:00,9,AVS Futebol SAD,FC Porto,2,8.5,5,1.29,,,,Season20242025
2024-11-01 15:15:00,10,Sporting CP,CF Estrela da Amadora,1,1.07,12,21,,,,Season20242025
2024-11-02 10:30:00,10,Rio Ave,Casa Pia AC,0,2.15,3.2,3.5,Rio Ave,Casa Pia,1-0,Season20242025
2024-11-02 14:00:00,10,Farense,Benfica,2,11,6.5,1.22,SC Farense,Benfica,1-3,Season20242025
2024-11-02 16:30:00,10,Gil Vicente,Boavista FC,2,1.7,3.6,5,Boavista,Gil Vicente,1-1,Season20242025
2024-11-03 10:30:00,10,AVS Futebol SAD,Famalicao,2,3.1,3,2.45,,,,Season20242025
2024-11-03 13:00:00,10,Vitoria de Guimaraes,Moreirense,1,1.73,3.5,5,Guimaraes,Moreirense,1-0,Season20242025
2024-11-03 13:00:00,10,Arouca,SC Braga,2,4.1,3.8,1.8,Braga,Arouca,0-3,Season20242025
2024-11-03 15:30:00,10,FC Porto,Estoril,1,1.14,8,15,Estoril,FC Porto,1-0,Season20242025
2024-11-04 15:15:00,10,Nacional da Madeira,Santa Clara,1,3.4,3.2,2.2,,,,Season20242025
2024-11-08 15:15:00,11,Moreirense,Gil Vicente,1,2.1,3.1,3.6,Moreirense,Gil Vicente,0-1,Season20242025
2024-11-09 10:30:00,11,Estoril,AVS Futebol SAD,0,2.45,3,3.1,,,,Season20242025
2024-11-09 10:30:00,11,Casa Pia AC,Farense,0,2.05,3.2,3.8,Casa Pia,SC Farense,1-3,Season20242025
2024-11-09 13:00:00,11,Famalicao,Arouca,0,1.9,3.4,4,Arouca,Famalicao,3-2,Season20242025
2024-11-09 15:30:00,11,Boavista FC,Rio Ave,2,2.8,3.1,2.6,Boavista,Rio Ave,0-0,Season20242025
2024-11-10 10:30:00,11,CF Estrela da Amadora,Nacional da Madeira,1,2.2,3.3,3.25,,,,Season20242025
2024-11-10 11:30:00,11,Santa Clara,Vitoria de Guimaraes,1,3,3,2.5,Santa Clara,Guimaraes,1-3,Season20242025
2024-11-10 13:45:00,11,SC Braga,Sporting CP,2,5,4,1.62,Sporting,Braga,5-0,Season20242025
2024-11-10 15:45:00,11,Benfica,FC Porto,1,2.1,3.3,3.5,FC Porto,Benfica,5-0,Season20242025
2024-11-29 15:15:00,12,Farense,CF Estrela da Amadora,1,2.25,3.5,3,,,,Season20242025
2024-11-30 10:30:00,12,Rio Ave,Moreirense,1,2.8,3.3,2.45,Moreirense,Rio Ave,0-0,Season20242025
2024-11-30 13:00:00,12,Nacional da Madeira,Boavista FC,0,2,3.4,3.8,,,,Season20242025
2024-11-30 15:30:00,12,Sporting CP,Santa Clara,2,1.11,9.5,15,Sporting,Santa Clara,3-0,Season20242025
2024-12-01 10:30:00,12,Estoril,Famalicao,1,3,3.4,2.3,Estoril,Famalicao,1-0,Season20242025
2024-12-01 13:00:00,12,Arouca,Benfica,2,11,6.25,1.22,Benfica,Arouca,5-0,Season20242025
2024-12-01 15:30:00,12,AVS Futebol SAD,SC Braga,2,4.5,3.75,1.73,,,,Season20242025
2024-12-02 13:45:00,12,Vitoria de Guimaraes,Gil Vicente,1,1.73,3.75,4.5,Gil Vicente,Guimaraes,1-0,Season20242025
2024-12-02 15:45:00,12,FC Porto,Casa Pia AC,1,1.2,6.5,12,Casa Pia,FC Porto,1-2,Season20242025
2024-12-05 15:15:00,13,Moreirense,Sporting CP,1,8.5,4.75,1.36,Moreirense,Sporting,0-2,Season20242025
2024-12-06 15:15:00,13,SC Braga,Estoril,0,1.3,5.5,8,Estoril,Braga,0-1,Season20242025
2024-12-07 10:30:00,13,Gil Vicente,Nacional da Madeira,1,2.05,3.3,3.6,,,,Season20242025
2024-12-07 13:00:00,13,Benfica,Vitoria de Guimaraes,1,1.3,5,10,Guimaraes,Benfica,2-2,Season20242025
2024-12-07 13:00:00,13,Santa Clara,Rio Ave,1,1.75,3.6,4.33,Santa Clara,Rio Ave,0-2,Season20242025
2024-12-07 15:30:00,13,Famalicao,FC Porto,0,6.5,4.5,1.45,FC Porto,Famalicao,2-2,Season20242025
2024-12-08 10:30:00,13,Boavista FC,Farense,0,2.45,3.2,2.88,SC Farense,Boavista,2-0,Season20242025
2024-12-08 13:00:00,13,Casa Pia AC,AVS Futebol SAD,0,2,3.3,3.75,,,,Season20242025
2024-12-09 15:15:00,13,CF Estrela da Amadora,Arouca,1,2.55,3.25,2.8,,,,Season20242025
2024-12-14 10:30:00,14,Farense,Gil Vicente,2,2.9,3.1,2.5,Gil Vicente,SC Farense,2-0,Season20242025
2024-12-14 13:00:00,14,Nacional da Madeira,Moreirense,1,2.75,3.1,2.63,,,,Season20242025
2024-12-14 15:30:00,14,Sporting CP,Boavista FC,1,1.08,11,19,Sporting,Boavista,6-1,Season20242025
2024-12-15 10:30:00,14,Arouca,Santa Clara,1,2.63,3,2.63,Arouca,Santa Clara,1-0,Season20242025
2024-12-15 13:00:00,14,AVS Futebol SAD,Benfica,0,15,8.5,1.14,,,,Season20242025
2024-12-15 15:30:00,14,Estoril,Casa Pia AC,2,2.63,3.1,2.75,Casa Pia,Estoril,0-0,Season20242025
2024-12-16 13:45:00,14,SC Braga,Famalicao,0,1.5,4,6.25,Famalicao,Braga,1-2,Season20242025
2024-12-16 15:15:00,14,FC Porto,CF Estrela da Amadora,1,1.13,9,15,,,,Season20242025
2024-12-16 15:45:00,14,Rio Ave,Vitoria de Guimaraes,0,4,3.4,1.9,Rio Ave,Guimaraes,2-1,Season20242025
2024-12-20 15:15:00,15,Casa Pia AC,Arouca,1,2.3,3.2,3.25,Casa Pia,Arouca,1-0,Season20242025
2024-12-21 10:30:00,15,Famalicao,Farense,2,1.8,3.25,5,SC Farense,Famalicao,1-1,Season20242025
2024-12-21 13:00:00,15,Boavista FC,AVS Futebol SAD,0,2.25,3.2,3.3,,,,Season20242025
2024-12-21 15:30:00,15,Moreirense,FC Porto,2,6.5,4.1,1.5,FC Porto,Moreirense,5-0,Season20242025
2024-12-22 12:00:00,15,Santa Clara,SC Braga,2,3.1,3.2,2.3,Braga,Santa Clara,5-3,Season20242025
2024-12-22 15:30:00,15,Gil Vicente,Sporting CP,0,9,5.5,1.3,Gil Vicente,Sporting,0-4,Season20242025
2024-12-23 13:45:00,15,Vitoria de Guimaraes,Nacional da Madeira,0,1.5,4,6.25,,,,Season20242025
2024-12-23 13:45:00,15,Benfica,Estoril,1,1.1,9,21,Benfica,Estoril,3-1,Season20242025
2024-12-23 15:45:00,15,CF Estrela da Amadora,Rio Ave,1,2.45,3.25,2.88,,,,Season20242025
2024-12-27 15:15:00,16,Arouca,Gil Vicente,0,2.3,3.2,3.2,Gil Vicente,Arouca,2-2,Season20242025
2024-12-28 10:30:00,16,AVS Futebol SAD,CF Estrela da Amadora,0,2.45,3,3.1,,,,Season20242025
2024-12-28 13:00:00,16,Estoril,Moreirense,0,3.4,3,2.3,Moreirense,Estoril,2-1,Season20242025
2024-12-28 15:30:00,16,FC Porto,Boavista FC,1,1.14,9,15,FC Porto,Boavista,2-1,Season20242025
2024-12-29 10:30:00,16,Rio Ave,Nacional da Madeira,1,2.25,3.1,3.4,,,,Season20242025
2024-12-29 10:30:00,16,Farense,Vitoria de Guimaraes,0,4.33,3.5,1.83,Guimaraes,SC Farense,1-1,Season20242025
2024-12-29 13:00:00,16,SC Braga,Casa Pia AC,2,1.42,4.5,7.5,Braga,Casa Pia,4-3,Season20242025
2024-12-29 15:30:00,16,Sporting CP,Benfica,1,2.5,3.6,2.6,Sporting,Benfica,2-1,Season20242025
2024-12-30 15:15:00,16,Famalicao,Santa Clara,2,2.75,2.9,2.88,Santa Clara,Famalicao,1-3,Season20242025
2025-01-03 15:15:00,17,Vitoria de Guimaraes,Sporting CP,0,4.5,3.8,1.7,Sporting,Guimaraes,3-0,Season20242025
2025-01-04 10:30:00,17,Moreirense,AVS Futebol SAD,0,1.8,3.5,4.33,,,,Season20242025
2025-01-04 13:00:00,17,Benfica,SC Braga,2,1.42,4.5,7,Benfica,Braga,3-1,Season20242025
2025-01-04 15:30:00,17,Boavista FC,Arouca,2,2.75,3.1,2.63,Arouca,Boavista,2-1,Season20242025
2025-01-05 10:30:00,17,Santa Clara,Farense,0,1.62,3.75,5.5,Santa Clara,SC Farense,4-0,Season20242025
2025-01-05 13:00:00,17,Casa Pia AC,Famalicao,0,2.45,3.2,3,Famalicao,Casa Pia,1-2,Season20242025
2025-01-05 15:30:00,17,CF Estrela da Amadora,Estoril,2,2.3,3.1,3.25,,,,Season20242025
2025-01-06 15:15:00,17,Gil Vicente,Rio Ave,0,2.1,3.25,3.6,Rio Ave,Gil Vicente,3-0,Season20242025
2025-01-12 10:30:00,17,Nacional da Madeira,FC Porto,1,3.4,3.25,2.2,,,,Season20242025
2025-01-17 15:15:00,18,Benfica,Famalicao,1,1.29,5.25,9.5,Famalicao,Benfica,2-0,Season20242025
2025-01-18 10:30:00,18,Santa Clara,Estoril,2,1.62,3.6,5.75,Estoril,Santa Clara,1-4,Season20242025
2025-01-18 13:00:00,18,Rio Ave,Sporting CP,2,9,5.25,1.3,Sporting,Rio Ave,3-1,Season20242025
2025-01-18 15:30:00,18,Vitoria de Guimaraes,Arouca,0,1.5,4,6.5,Arouca,Guimaraes,0-1,Season20242025
2025-01-19 10:30:00,18,Nacional da Madeira,AVS Futebol SAD,1,2.4,3.1,3,,,,Season20242025
2025-01-19 10:30:00,18,Moreirense,Farense,0,1.73,3.5,4.8,SC Farense,Moreirense,1-2,Season20242025
2025-01-19 13:00:00,18,CF Estrela da Amadora,SC Braga,2,4.6,3.75,1.7,,,,Season20242025
2025-01-19 15:30:00,18,Gil Vicente,FC Porto,1,7.5,4.8,1.36,FC Porto,Gil Vicente,3-0,Season20242025
2025-01-20 15:15:00,18,Boavista FC,Casa Pia AC,2,3.4,3.2,2.15,Casa Pia,Boavista,0-1,Season20242025
2025-01-24 15:15:00,19,Arouca,Moreirense,1,2.2,3.2,3.4,Moreirense,Arouca,3-1,Season20242025
2025-01-25 10:30:00,19,Famalicao,CF Estrela da Amadora,0,1.85,3.4,4.33,,,,Season20242025
2025-01-25 10:30:00,19,Farense,Rio Ave,2,2.5,3,3,Rio Ave,SC Farense,1-0,Season20242025
2025-01-25 13:00:00,19,Casa Pia AC,Benfica,1,8,4.5,1.4,Benfica,Casa Pia,3-0,Season20242025
2025-01-25 15:30:00,19,Sporting CP,Nacional da Madeira,1,1.14,9.5,12,,,,Season20242025
2025-01-26 10:30:00,19,Estoril,Vitoria de Guimaraes,1,4.33,3.6,1.8,Guimaraes,Estoril,1-0,Season20242025
2025-01-26 13:00:00,19,FC Porto,Santa Clara,0,1.45,4.2,7.5,Santa Clara,FC Porto,0-2,Season20242025
2025-01-26 15:30:00,19,SC Braga,Boavista FC,1,1.29,5.5,10,Boavista,Braga,0-1,Season20242025
2025-01-27 15:15:00,19,AVS Futebol SAD,Gil Vicente,1,2.8,3,2.7,Gil Vicente,AVS,4-2,Season20242025
2025-01-31 15:15:00,20,Boavista FC,Famalicao,2,3.5,3,2.25,Famalicao,Boavista,1-0,Season20242025
2025-02-01 10:30:00,20,Santa Clara,Casa Pia AC,1,2.05,3.2,3.6,Casa Pia,Santa Clara,0-2,Season20242025
2025-02-01 10:30:00,20,Nacional da Madeira,Arouca,2,2.45,3.2,2.8,,,,Season20242025
