Date,MD,Home,Away,FTR,HomeG,AwayG,HmOd,DrOd,AwOd,Season,hHome,hAway,hScre,hRnd,Date_Only
2025-09-15 14:45:00,3,Como,Genoa,0,-1,-1,1.65,3.7,5.25,2025-2026,Como,Genoa,1-0,34,2025-09-15
2025-09-15 12:30:00,3,Hellas Verona,Cremonese,0,-1,-1,2.0,3.4,3.75,2025-2026,Cremonese,Verona,1-1,32,2025-09-15
2025-09-14 14:45:00,3,AC Milan,Bologna,1,1,0,1.73,3.75,4.5,2025-2026,AC Milan,Bologna,3-1,36,2025-09-14
2025-09-14 12:00:00,3,Sassuolo,Lazio,1,1,0,3.25,3.6,2.1,2025-2026,Lazio,Sassuolo,1-1,38,2025-09-14
2025-09-14 09:00:00,3,Atalanta,Lecce,1,4,1,1.45,4.33,7.0,2025-2026,Atalanta,Lecce,1-1,34,2025-09-14
2025-09-14 09:00:00,3,Pisa,Udinese,2,0,1,2.75,3.1,2.63,2025-2026,-,-,-,-,2025-09-14
2025-09-14 06:30:00,3,AS Roma,Torino,2,0,1,1.5,4.0,7.0,2025-2026,Torino,AS Roma,0-2,38,2025-09-14
2025-09-13 14:45:00,3,Fiorentina,Napoli,2,1,3,3.3,3.4,2.1,2025-2026,Napoli,Fiorentina,2-1,28,2025-09-13
2025-09-13 12:00:00,3,Juventus,Inter,1,4,3,2.5,3.3,2.88,2025-2026,Juventus,Inter Milan,1-0,25,2025-09-13
2025-09-13 09:00:00,3,Cagliari,Parma,1,2,0,2.25,3.25,3.25,2025-2026,Cagliari,Parma,2-1,24,2025-09-13
2025-08-31 14:45:00,2,Inter,Udinese,2,1,2,1.3,5.0,12.0,2025-2026,Inter Milan,Udinese,2-1,30,2025-08-31
2025-08-31 14:45:00,2,Lazio,Hellas Verona,1,4,0,1.44,4.5,7.5,2025-2026,Verona,Lazio,0-3,21,2025-08-31
2025-08-31 12:30:00,2,Genoa,Juventus,2,0,1,4.33,3.4,1.9,2025-2026,Juventus,Genoa,1-0,30,2025-08-31
2025-08-31 12:30:00,2,Torino,Fiorentina,0,0,0,3.0,3.2,2.45,2025-2026,Fiorentina,Torino,1-1,21,2025-08-31
2025-08-30 14:45:00,2,Napoli,Cagliari,1,1,0,1.29,5.25,12.0,2025-2026,Napoli,Cagliari,2-0,38,2025-08-30
