Date,MD,Home,Away,FTR,HomeG,AwayG,HmOd,DrOd,AwOd,Season,hHome,hAway,hScre,hRnd
2025-04-21 15:00:00,32,Girona,Real Betis,0,-1,-1,2.7,3.25,2.55,2024-2025,Real Betis,Girona,1-1,1
2025-04-20 15:00:00,32,Real Madrid,Athletic Bilbao,0,-1,-1,1.6,4.0,5.0,2024-2025,Athletic Bilbao,Real Madrid,2-1,19
2025-04-20 12:30:00,32,Sevilla,Alaves,0,-1,-1,2.05,3.0,3.8,2024-2025,Alaves,Sevilla,2-1,6
2025-04-20 10:15:00,32,Villarreal,Real Sociedad,0,-1,-1,1.8,3.4,4.33,2024-2025,Real Sociedad,Villarreal,1-0,19
2025-04-20 08:00:00,32,Real Valladolid,Osasuna,0,-1,-1,4.0,3.3,1.95,2024-2025,Osasuna,Real Valladolid,1-0,12
2025-04-19 15:00:00,32,Las Palmas,Atletico Madrid,0,-1,-1,4.75,3.7,1.65,2024-2025,Atletico Madrid,Las Palmas,2-0,12
2025-04-19 12:30:00,32,Mallorca,Leganes,0,-1,-1,1.8,3.1,5.0,2024-2025,Leganes,Mallorca,0-1,4
2025-04-19 10:15:00,32,FC Barcelona,Celta Vigo,0,-1,-1,1.33,5.5,7.0,2024-2025,Celta Vigo,FC Barcelona,2-2,14
2025-04-19 08:00:00,32,Rayo Vallecano,Valencia,0,-1,-1,2.38,3.0,3.1,2024-2025,Valencia,Rayo Vallecano,0-1,16
2025-04-18 15:00:00,32,RCD Espanyol,Getafe,0,-1,-1,2.55,2.75,3.1,2024-2025,Getafe,RCD Espanyol,1-0,16
2025-04-14 15:00:00,31,Atletico Madrid,Real Valladolid,1,4,2,1.14,7.0,21.0,2024-2025,Real Valladolid,Atletico Madrid,0-5,15
2025-04-13 15:00:00,31,Athletic Bilbao,Rayo Vallecano,1,3,1,1.67,3.5,6.0,2024-2025,Rayo Vallecano,Athletic Bilbao,1-2,15
2025-04-13 12:30:00,31,Real Betis,Villarreal,2,1,2,2.25,3.3,3.3,2024-2025,Villarreal,Real Betis,1-2,17
2025-04-13 10:15:00,31,Alaves,Real Madrid,2,0,1,9.5,4.75,1.36,2024-2025,Real Madrid,Alaves,3-2,7
2025-04-13 08:00:00,31,Osasuna,Girona,1,2,1,2.7,3.3,2.63,2024-2025,Girona,Osasuna,4-0,3
2025-04-12 15:00:00,31,Leganes,FC Barcelona,2,0,1,11.0,5.5,1.29,2024-2025,FC Barcelona,Leganes,0-1,17
2025-04-12 12:30:00,31,Celta Vigo,RCD Espanyol,2,0,2,1.7,3.5,5.75,2024-2025,RCD Espanyol,Celta Vigo,3-1,15
2025-04-12 10:15:00,31,Getafe,Las Palmas,2,1,3,1.91,3.1,4.8,2024-2025,Las Palmas,Getafe,1-2,19
2025-04-12 08:00:00,31,Real Sociedad,Mallorca,2,0,2,2.05,2.9,4.5,2024-2025,Mallorca,Real Sociedad,1-0,7
2025-04-11 15:00:00,31,Valencia,Sevilla,1,1,0,2.25,3.4,3.2,2024-2025,Sevilla,Valencia,1-1,19
2025-04-07 15:00:00,30,Leganes,Osasuna,0,1,1,2.6,3.0,2.9,2024-2025,Osasuna,Leganes,1-1,1
2025-04-06 15:00:00,30,Villarreal,Athletic Bilbao,0,0,0,2.4,3.2,3.0,2024-2025,Athletic Bilbao,Villarreal,2-0,16
2025-04-06 12:30:00,30,Real Valladolid,Getafe,2,0,4,3.75,3.1,2.1,2024-2025,Getafe,Real Valladolid,2-0,14
2025-04-06 10:15:00,30,Sevilla,Atletico Madrid,2,1,2,3.8,3.2,2.05,2024-2025,Atletico Madrid,Sevilla,4-3,16
2025-04-06 08:00:00,30,Las Palmas,Real Sociedad,2,1,3,3.1,3.1,2.38,2024-2025,Real Sociedad,Las Palmas,0-0,17
2025-04-05 15:00:00,30,FC Barcelona,Real Betis,0,1,1,1.33,5.5,7.5,2024-2025,Real Betis,FC Barcelona,2-2,16
2025-04-05 12:30:00,30,Mallorca,Celta Vigo,2,1,2,2.3,3.3,3.1,2024-2025,Celta Vigo,Mallorca,2-0,16
2025-04-05 10:15:00,30,Real Madrid,Valencia,2,1,2,1.22,6.5,11.0,2024-2025,Valencia,Real Madrid,1-2,12
2025-04-05 08:00:00,30,Girona,Alaves,2,0,1,1.91,3.6,3.75,2024-2025,Alaves,Girona,0-1,19
2025-04-04 15:00:00,30,Rayo Vallecano,RCD Espanyol,2,0,4,1.8,3.6,4.33,2024-2025,RCD Espanyol,Rayo Vallecano,2-1,4
2025-03-31 15:00:00,29,Celta Vigo,Las Palmas,0,1,1,1.57,3.8,6.0,2024-2025,Las Palmas,Celta Vigo,0-1,9
2025-03-30 15:00:00,29,Real Betis,Sevilla,1,2,1,1.91,3.4,4.0,2024-2025,Sevilla,Real Betis,1-0,9
2025-03-30 12:30:00,29,Athletic Bilbao,Osasuna,0,0,0,1.57,3.8,6.0,2024-2025,Osasuna,Athletic Bilbao,1-2,18
2025-03-30 12:30:00,29,Valencia,Mallorca,1,1,0,2.3,3.1,3.3,2024-2025,Mallorca,Valencia,2-1,15
2025-03-30 10:15:00,29,FC Barcelona,Girona,1,4,1,1.29,5.75,9.0,2024-2025,Girona,FC Barcelona,1-4,5
2025-03-30 08:00:00,29,Getafe,Villarreal,2,1,2,3.1,3.0,2.45,2024-2025,Villarreal,Getafe,1-1,10
2025-03-29 16:00:00,29,Real Madrid,Leganes,1,3,2,1.17,7.5,14.0,2024-2025,Leganes,Real Madrid,0-3,14
2025-03-29 13:30:00,29,Alaves,Rayo Vallecano,2,0,2,2.5,2.9,3.1,2024-2025,Rayo Vallecano,Alaves,1-0,11
2025-03-29 11:15:00,29,RCD Espanyol,Atletico Madrid,0,1,1,5.75,3.75,1.6,2024-2025,Atletico Madrid,RCD Espanyol,0-0,3
2025-03-29 09:00:00,29,Real Sociedad,Real Valladolid,1,2,1,1.36,4.5,9.0,2024-2025,Real Valladolid,Real Sociedad,0-0,6
2025-03-16 16:00:00,28,Atletico Madrid,FC Barcelona,2,2,4,2.75,3.5,2.4,2024-2025,FC Barcelona,Atletico Madrid,1-2,18
2025-03-16 13:30:00,28,Rayo Vallecano,Real Sociedad,0,2,2,2.55,2.9,3.0,2024-2025,Real Sociedad,Rayo Vallecano,1-2,1
2025-03-16 13:30:00,28,Osasuna,Getafe,2,1,2,2.3,2.8,3.6,2024-2025,Getafe,Osasuna,1-1,9
2025-03-16 11:15:00,28,Sevilla,Athletic Bilbao,2,0,1,3.5,3.3,2.1,2024-2025,Athletic Bilbao,Sevilla,1-1,8
