Date,MD,Home,Away,FTR,HomeG,AwayG,HmOd,DrOd,AwOd,Season,hHome,hAway,hScre,hRnd
2025-04-07 13:00:00,30,Kasimpasa,Besiktas JK,0,-1,-1,3.6,3.5,2.0,2024-2025,Besiktas JK,Kasimpasa,1-3,11
2025-04-07 13:00:00,30,Goztepe,Gazisehir Gaziantep,0,-1,-1,1.7,3.8,4.75,2024-2025,Gazisehir Gaziantep,Goztepe,2-1,11
2025-04-06 12:00:00,30,Fenerbahce,Trabzonspor,1,4,1,1.38,4.75,7.5,2024-2025,Trabzonspor,Fenerbahce,2-3,11
2025-04-06 09:00:00,30,Hatayspor,Eyupspor,2,0,1,3.2,3.3,2.2,2024-2025,Eyupspor,Hatayspor,2-0,11
2025-04-06 06:30:00,30,Alanyaspor,Bodrumspor,2,0,1,2.2,3.2,3.4,2024-2025,Bodrumspor,Alanyaspor,0-0,11
2025-04-05 12:00:00,30,Antalyaspor,Samsunspor,1,2,1,2.7,3.1,2.7,2024-2025,Samsunspor,Antalyaspor,2-0,11
2025-04-05 09:00:00,30,Istanbul Basaksehir,Konyaspor,1,1,0,1.8,3.5,4.33,2024-2025,Konyaspor,Istanbul Basaksehir,3-2,11
2025-04-05 06:30:00,30,Caykur Rizespor,Sivasspor,0,1,1,1.73,4.0,4.2,2024-2025,Sivasspor,Caykur Rizespor,2-1,11
2025-04-04 13:00:00,30,Adana Demirspor,Kayserispor,2,0,2,7.0,4.5,1.42,2024-2025,Kayserispor,Adana Demirspor,0-0,11
2025-03-31 13:00:00,29,Eyupspor,Istanbul Basaksehir,2,1,3,2.63,3.2,2.55,2024-2025,Istanbul Basaksehir,Eyupspor,1-1,10
2025-03-29 13:30:00,29,Besiktas JK,Galatasaray,1,2,1,3.0,3.5,2.15,2024-2025,Galatasaray,Besiktas JK,2-1,10
2025-03-29 09:00:00,29,Samsunspor,Kasimpasa,2,0,2,1.9,3.6,3.7,2024-2025,Kasimpasa,Samsunspor,1-4,10
2025-03-29 09:00:00,29,Trabzonspor,Goztepe,0,1,1,2.05,3.4,3.3,2024-2025,Goztepe,Trabzonspor,2-1,10
2025-03-29 06:30:00,29,Sivasspor,Adana Demirspor,1,5,1,1.48,4.5,5.25,2024-2025,Adana Demirspor,Sivasspor,2-4,10
2025-03-28 13:30:00,29,Bodrumspor,Fenerbahce,2,2,4,5.25,3.9,1.53,2024-2025,Fenerbahce,Bodrumspor,2-0,10
2025-03-28 13:30:00,29,Konyaspor,Gazisehir Gaziantep,1,1,0,2.1,3.25,3.3,2024-2025,Gazisehir Gaziantep,Konyaspor,3-1,10
2025-03-28 09:00:00,29,Kayserispor,Hatayspor,1,5,0,1.62,3.8,4.75,2024-2025,Hatayspor,Kayserispor,0-1,10
2025-03-28 09:00:00,29,Antalyaspor,Alanyaspor,1,2,1,2.4,3.3,2.75,2024-2025,Alanyaspor,Antalyaspor,1-2,10
2025-03-16 13:30:00,28,Fenerbahce,Samsunspor,0,0,0,1.38,4.75,7.0,2024-2025,Samsunspor,Fenerbahce,2-2,9
2025-03-16 09:00:00,28,Hatayspor,Sivasspor,1,3,2,2.35,3.3,2.9,2024-2025,Sivasspor,Hatayspor,3-2,9
2025-03-16 09:00:00,28,Goztepe,Eyupspor,0,1,1,1.7,3.6,4.5,2024-2025,Eyupspor,Goztepe,1-0,9
2025-03-16 06:30:00,28,Caykur Rizespor,Bodrumspor,2,0,2,2.0,3.0,4.0,2024-2025,Bodrumspor,Caykur Rizespor,0-1,9
2025-03-15 13:30:00,28,Istanbul Basaksehir,Trabzonspor,2,0,3,2.25,3.1,3.2,2024-2025,Trabzonspor,Istanbul Basaksehir,1-0,9
2025-03-15 13:30:00,28,Konyaspor,Besiktas JK,1,1,0,3.0,3.3,2.3,2024-2025,Besiktas JK,Konyaspor,2-0,9
2025-03-15 09:00:00,28,Kasimpasa,Alanyaspor,1,2,1,2.05,3.5,3.3,2024-2025,Alanyaspor,Kasimpasa,1-2,9
2025-03-15 06:30:00,28,Gazisehir Gaziantep,Kayserispor,1,1,0,2.2,3.1,3.5,2024-2025,Kayserispor,Gazisehir Gaziantep,2-2,9
2025-03-14 13:30:00,28,Galatasaray,Antalyaspor,1,4,0,1.25,6.0,9.0,2024-2025,Antalyaspor,Galatasaray,0-3,9
2025-03-10 13:30:00,27,Besiktas JK,Gazisehir Gaziantep,2,1,2,1.48,4.5,5.5,2024-2025,Gazisehir Gaziantep,Besiktas JK,1-1,8
2025-03-09 13:30:00,27,Alanyaspor,Galatasaray,2,1,2,4.75,4.2,1.62,2024-2025,Galatasaray,Alanyaspor,1-0,8
2025-03-09 09:00:00,27,Eyupspor,Konyaspor,1,2,1,2.1,3.25,3.6,2024-2025,Konyaspor,Eyupspor,2-1,8
